,movie_id,title,movie_rating,release_date,runtime,metascore,imdb_rating,budget,boxoffice,buzz
612,926.0,Dirty Laundry,PG-13,2006-07-15,100.0,48.0,6.3,20000000,9534258,2
613,928.0,Everything's Gone Green,R,2007-04-20,95.0,57.0,6.1,150000,9445857,2
614,930.0,Steal a Pencil for Me,Not Rated,2007-03-10,94.0,69.0,7.5,15000000,9396870,2
615,931.0,What Love Is,R,2007-03-23,93.0,14.0,5.3,15000000,9176787,17
617,940.0,The Dark Knight,PG-13,2008-07-18,152.0,84.0,9.0,20000000,8580428,9
618,941.0,Iron Man,PG-13,2008-05-02,126.0,79.0,7.9,20000000,8135024,4
620,943.0,Hancock,PG-13,2008-07-02,92.0,49.0,6.4,3300000,8093373,5
625,948.0,Quantum of Solace,PG-13,2008-11-14,106.0,58.0,6.6,25000000,7164995,3
626,949.0,Horton Hears a Who!,G,2008-03-14,86.0,71.0,6.8,4000000,7159147,3
629,952.0,Mamma Mia!,PG-13,2008-07-18,108.0,51.0,6.4,4000000,7006708,4
631,955.0,Slumdog Millionaire,R,2008-12-25,120.0,84.0,8.0,23000000,6777741,6
632,956.0,The Incredible Hulk,PG-13,2008-06-13,112.0,61.0,6.6,9000000,6623082,10
635,959.0,The Curious Case of Benjamin Button,PG-13,2008-12-25,166.0,70.0,7.8,12500000,5956480,4
636,960.0,Four Christmases,PG-13,2008-11-26,88.0,41.0,5.7,67000000,5932060,4
639,963.0,Bedtime Stories,PG,2008-12-25,99.0,33.0,6.0,55000000,5755286,2
640,964.0,The Mummy: Tomb of the Dragon Emperor,PG-13,2008-08-01,112.0,31.0,5.2,7000000,5694308,14
641,965.0,Journey to the Center of the Earth,PG,2008-07-11,93.0,57.0,5.8,10000000,5490423,3
642,966.0,Eagle Eye,PG-13,2008-09-26,118.0,43.0,6.6,13000000,4857374,3
643,967.0,Step Brothers,R,2008-07-25,98.0,51.0,6.9,45000000,4617608,4
649,973.0,Pineapple Express,R,2008-08-06,111.0,64.0,6.9,7300000,4443403,4
650,974.0,Valkyrie,PG-13,2008-12-25,121.0,56.0,7.1,22000000,4398532,2
657,981.0,Hellboy II: The Golden Army,PG-13,2008-07-11,120.0,78.0,7.0,15000000,3526588,10
659,983.0,The Spiderwick Chronicles,PG,2008-02-14,96.0,62.0,6.5,9000000,3438735,3
660,984.0,Fool's Gold,PG-13,2008-02-08,112.0,29.0,5.7,16000000,3287315,4
661,985.0,Seven Pounds,PG-13,2008-12-19,123.0,36.0,7.6,13000000,3172382,4
664,988.0,Forgetting Sarah Marshall,R,2008-04-18,111.0,67.0,7.1,9000000,2956339,2
667,991.0,Step Up 2: The Streets,PG-13,2008-02-14,98.0,50.0,6.2,4000000,2426851,2
669,993.0,The Strangers,R,2008-05-30,86.0,47.0,6.2,12000000,2201923,3
673,997.0,The House Bunny,PG-13,2008-08-22,97.0,55.0,5.5,7000000,1661464,4
