person_id,name
794,Cyril Raffaelli
795,David Belle
796,Tony D'Amario
797,Douglas McGrath
798,George Plimpton
799,Toby Jones
800,Sandra Bullock
801,Eric Schlosser
802,Catalina Sandino Moreno
803,Anthony Minghella
804,Robin Wright
805,Vera Farmiga
806,Laurent Cantet
807,Robin Campillo
808,Dany Laferrière
809,Charlotte Rampling
810,Karen Young
811,Louise Portal
812,Albert Brooks
813,Sheetal Sheth
814,John Carroll Lynch
815,Dito Montiel
816,Shia LaBeouf
817,Mike Judge
818,Etan Cohen
819,Maya Rudolph
820,Steve Taylor
821,Henry O. Arnold
822,Ben Pearson
823,Michael W. Smith
824,Jeff Obafemi Carr
825,J. Don Ferguson
826,Salvador Litvak
827,Nina Davidovich
828,Lesley Ann Warren
829,Michael Lerner
830,Shiri Appleby
831,Hans Canosa
832,Gabrielle Zevin
833,Helena Bonham Carter
834,Yury Tsykun
835,Rachid Bouchareb
836,Olivier Lorelle
837,Samy Naceri
838,Roschdy Zem
839,Sami Bouajila
840,Leslie Small
841,T. Faye Griffin
842,Steve Harvey
843,Rickey Smiley
844,Max Mayer
845,Hugh Dancy
846,Rose Byrne
847,Peter Gallagher
848,Kelly Reichardt
849,Jonathan Raymond
850,Daniel London
851,Will Oldham
852,Tanya Smith
853,Paul Crowder
854,John Dower
855,Mark Monroe
856,Pelé
857,Giorgio Chinaglia
858,Doug Block
859,Amy Seplin
860,Carol Block
861,Ellen Block
862,Katharina Otto-Bernstein
863,Robert Wilson
864,Arnold Aronson
865,Robin Brentano
866,John Gulager
867,Patrick Melton
868,Marcus Dunstan
869,Navi Rawat
870,Krista Allen
871,Balthazar Getty
872,Chris Metzler
873,Jeff Springer
874,Sonny Bono
875,John Waters
876,Norm Niver
877,Nick Guthe
878,Alec Baldwin
879,Nikki Reed
880,Carrie-Anne Moss
881,Aric Avelino
882,Steven Bagatourian
883,Marcia Gay Harden
884,Donald Sutherland
885,Karen Moncrieff
886,Gore Verbinski
887,Ted Elliott
888,Terry Rossio
889,Stuart Beattie
890,Johnny Depp
891,Orlando Bloom
892,Keira Knightley
893,David Silverman
894,James L. Brooks
895,Matt Groening
896,Al Jean
897,Dan Castellaneta
898,Julie Kavner
899,Nancy Cartwright
900,Walt Becker
901,Brad Copeland
902,John Travolta
903,Charlie Murphy
904,Jay Scherick
905,Terry Crews
906,Nichole Millard
907,Kathryn Price
908,Audrey Wells
909,Kyra Sedgwick
910,Madison Pettis
911,Kevin Munroe
912,Peter Laird
913,Kevin Eastman
914,Mako
915,Chris Evans
916,Marc Lawrence
917,Hugh Grant
918,Scott Porter
919,Steve Carr
920,Hank Nelken
921,Steven Gary Banks
922,Claudia Grazioso
923,Ice Cube
924,John C. McGinley
925,Scott Hicks
926,Carol Fuchs
927,Sandra Nettelbeck
928,Catherine Zeta-Jones
929,Abigail Breslin
930,Xavier Gens
931,Skip Woods
932,Timothy Olyphant
933,Dougray Scott
934,Olga Kurylenko
935,Bobby Farrelly
936,Peter Farrelly
937,Leslie Dixon
938,Malin Akerman
939,Kirsten Sheridan
940,Nick Castle
941,James V. Hart
942,Paul Castro
943,Freddie Highmore
944,Keri Russell
945,Jonathan Rhys Meyers
946,Andrew Fleming
947,Tiffany Paulsen
948,Mildred Wirt Benson
949,Tate Donovan
950,Max Thieriot
951,Robert Rodriguez
952,Eli Roth
953,Quentin Tarantino
954,Rob Zombie
955,Edgar Wright
956,Rose McGowan
957,Danny Trejo
958,Martin Weisz
959,Jonathan Craven
960,Daniella Alonso
961,Jacob Vargas
962,Michael Bailey Smith
963,Jon Krakauer
964,Emile Hirsch
965,Werner Herzog
966,Steve Zahn
967,Jeremy Davies
968,Susanne Bier
969,Allan Loeb
970,Benicio Del Toro
971,Roland Joffé
972,Larry Cohen
973,Joseph Tura
974,Elisha Cuthbert
975,Daniel Gillies
976,Pruitt Taylor Vince
977,John Dahl
978,Christopher Markus
979,Stephen McFeely
980,Ben Kingsley
981,Téa Leoni
982,Francis Veber
983,Declan May
984,Gad Elmaleh
985,Alice Taglioni
986,Daniel Auteuil
987,Mani Ratnam
988,Vijay Krishna Acharya
989,Mithun Chakraborty
990,Abhishek Bachchan
991,Aishwarya Rai Bachchan
992,Ken Loach
993,Paul Laverty
994,Cillian Murphy
995,Pádraic Delaney
996,Liam Cunningham
997,Molly Shannon
998,Peter Sarsgaard
999,Anders Thomas Jensen
1000,Mads Mikkelsen
1001,Sidse Babett Knudsen
1002,Rolf Lassgård
1003,Patrice Leconte
1004,Olivier Dazat
1005,Jérôme Tonnerre
