genre_id,genre_name
978,"Action, Horror, Sci-Fi"
979,"Drama, Sci-Fi, Thriller"
980,"Comedy, Romance"
981,"Action, Adventure, Fantasy"
982,"Action, Crime, Drama"
983,"Action, Adventure, Drama"
984,"Action, Adventure, Comedy"
985,Drama
986,Comedy
987,"Drama, Mystery, Sci-Fi"
988,"Comedy, Drama, Romance"
989,"Comedy, Romance"
990,"Comedy, Crime, Drama"
991,"Drama, Music, Romance"
992,"Crime, Horror, Mystery"
993,"Horror, Mystery, Thriller"
994,"Action, Adventure, Fantasy"
995,"Animation, Adventure, Comedy"
996,"Adventure, Comedy, Drama"
997,"Comedy, Romance"
998,"Adventure, Comedy, Drama"
999,"Comedy, Romance"
1000,"Adventure, Comedy, Drama"
1001,"Comedy, Drama, Romance"
1002,"Action, Adventure, Comedy"
1003,"Horror, Mystery"
1004,"Action, Adventure, Thriller"
1005,"Comedy, Romance"
1006,"Comedy, Drama, Romance"
1007,"Drama, Romance"
1008,"Action, Crime, Drama"
1009,"Crime, Drama, Mystery"
1010,"Action, Drama, Thriller"
1011,"Crime, Drama, Thriller"
1012,"Comedy, Fantasy"
1013,Comedy
1014,"Comedy, Crime, Drama"
1015,Drama
1016,Drama
1017,"Action, Sci-Fi, Thriller"
1018,"Biography, Crime, Drama"
1020,"Drama, Romance"
1021,"Comedy, Sport"
1022,"Drama, Fantasy, Romance"
1023,"Drama, Mystery"
1024,"Action, Comedy, Crime"
1025,"Comedy, Drama, Romance"
1026,"Comedy, Romance, Sport"
1027,"Biography, Drama"
1028,"Action, Crime, Thriller"
1030,"Comedy, Drama, Music"
1031,"Comedy, Romance"
1032,"Drama, Horror, Mystery"
1033,"Comedy, Drama, Romance"
1034,"Horror, Mystery"
1035,"Animation, Adventure, Comedy"
1036,"Crime, Drama, Thriller"
1037,"Crime, Mystery, Thriller"
1038,"Comedy, Drama"
1039,"Horror, Mystery"
1040,"Biography, Drama, History"
1041,"Action, Comedy, Sci-Fi"
1042,"Action, Crime, Drama"
1043,"Drama, Sport"
1045,"Biography, Comedy, Drama"
1046,"Action, Drama, Sport"
1047,"Action, Crime, Drama"
1048,"Comedy, Drama, Romance"
1049,"Drama, Romance"
1050,"Action, Adventure, Sci-Fi"
1051,"Crime, Drama, Horror"
1052,"Comedy, Crime, Thriller"
1053,"Action, Crime, Drama"
1054,"Action, Crime, Fantasy"
1055,"Animation, Comedy, Family"
1056,"Comedy, Romance"
1057,"Biography, Drama, History"
1058,"Comedy, Drama, Family"
1059,"Adventure, Fantasy, Horror"
1060,"Crime, Drama, Mystery"
1061,"Comedy, Drama"
1062,"Crime, Drama, Thriller"
1063,"Action, Crime, Thriller"
1064,"Drama, Romance"
1065,"Animation, Adventure, Family"
1066,"Comedy, Sci-Fi"
1067,"Biography, Drama, History"
1068,"Drama, Horror, Thriller"
1069,"Comedy, Drama, Fantasy"
1070,"Documentary, Comedy, War"
1072,"Drama, Romance"
1073,"Adventure, Drama"
1074,"Comedy, Romance"
1075,"Comedy, Drama, Music"
1076,"Adventure, Comedy, Family"
1077,"Biography, Comedy, Drama"
1078,Comedy
1079,"Action, Sci-Fi, Thriller"
1080,"Drama, War"
1081,"Comedy, Fantasy, Romance"
1082,"Biography, Drama, Sport"
1083,"Comedy, Drama, Romance"
1084,Drama
1085,"Drama, History, War"
1086,"Comedy, Romance"
1087,"Biography, Drama, Music"
1088,"Action, Crime, Drama"
1089,"Action, Drama, War"
1090,"Adventure, Family, Fantasy"
1091,"Comedy, Crime, Drama"
1092,Documentary
1093,"Comedy, Fantasy, Romance"
1094,"Comedy, Drama, Romance"
1096,"Comedy, Fantasy"
1097,"Adventure, Comedy"
1098,"Drama, Romance"
1099,"Comedy, Music"
1100,"Crime, Drama, Mystery"
1101,"Comedy, Romance, Sport"
1103,"Action, Crime, Thriller"
1105,"Crime, Drama, History"
1106,"Comedy, Music"
1107,"Action, Adventure, Fantasy"
1108,Comedy
1109,"Crime, Drama, Mystery"
1111,"Biography, Drama"
1112,"Comedy, Crime"
1115,"Comedy, Drama, Romance"
1116,"Comedy, Drama, Romance"
1118,"Drama, Romance"
1119,"Comedy, Drama, Romance"
1120,"Action, Drama, History"
1121,Drama
1122,Drama
1123,"Drama, Mystery, Sci-Fi"
1125,"Documentary, Biography, Crime"
1126,"Comedy, Drama"
1127,"Biography, Comedy, Drama"
1130,"Crime, Drama"
1132,"Drama, Sport"
1133,"Adventure, Drama, Fantasy"
1134,"Crime, Drama, Mystery"
1135,"Comedy, Romance"
1136,"Crime, Drama, Fantasy"
1137,"Comedy, Drama, Romance"
1140,Drama
1141,"Comedy, Drama"
1143,"Biography, Crime, Drama"
1145,"Biography, Drama, Sport"
1146,"Crime, Drama, Thriller"
1148,"Documentary, Biography, Music"
1150,"Crime, Drama, Thriller"
1151,Drama
1152,Drama
1155,"Comedy, Drama"
1156,"Comedy, Drama, Romance"
1157,"Drama, History, Romance"
1158,"Drama, War"
1160,"Comedy, Drama, Romance"
1163,"Crime, Drama, Romance"
1164,"Fantasy, Horror, Sci-Fi"
1165,Documentary
1166,Documentary
1167,"Animation, Adventure, Comedy"
1169,"Drama, Romance"
1170,Drama
1171,Documentary
1173,"Drama, Romance"
1174,Documentary
1175,Drama
1176,"Drama, Sport"
1181,"Adventure, Drama, War"
1182,"Drama, War"
1183,"Comedy, Drama, Romance"
1184,"Action, Comedy, Thriller"
1187,Drama
1192,"Comedy, Drama"
1194,"Crime, Drama, Mystery"
1197,"Action, Comedy, Crime"
1199,"Drama, Family"
1202,"Comedy, Romance, Sport"
1203,Drama
1204,"Drama, Thriller"
1206,Comedy
1207,"Crime, Drama, Romance"
1208,"Documentary, Comedy, War"
1210,"Comedy, Romance"
1211,"Action, Comedy, Fantasy"
1215,"Action, Crime, Drama"
1217,"Documentary, Sport"
1218,"Crime, Drama"
1219,"Drama, Fantasy, Mystery"
1221,"Drama, Romance, Sci-Fi"
1222,"Drama, Music, Romance"
1224,"Documentary, Sport"
1225,"Documentary, Crime, History"
1229,"Adventure, Comedy, Drama"
1231,"Drama, Mystery, Sci-Fi"
1235,"Comedy, Drama, Romance"
1237,Comedy
1240,"Action, Drama, History"
1241,"Action, Drama, Thriller"
1242,"Documentary, History, Music"
1244,Drama
1253,"Comedy, Fantasy, Horror"
1256,Drama
1257,"Comedy, Drama"
1259,"Documentary, Comedy, Drama"
1260,"Biography, Drama"
1263,"Drama, Romance, Sport"
1265,"Horror, Musical, Sci-Fi"
1266,"Comedy, Drama, Horror"
1268,"Drama, Music"
1272,"Documentary, Sport"
1273,Drama
1277,"Comedy, Drama, Family"
